Condition,Clock Time,Experiment Time
N,1693233500.520832,2.0064330101013184
G,1693233504.542921,6.02852201461792
C,1693233508.564609,10.050209999084473
N,1693233512.585886,14.071486949920654
G,1693233516.603018,18.088618993759155
C,1693233520.614187,22.099787950515747
G,1693233524.631874,26.117475032806396
C,1693233528.648053,30.13365387916565
N,1693233532.6662889,34.15188980102539
G,1693233536.6797152,38.165316104888916
C,1693233540.698713,42.184314012527466
N,1693233544.719518,46.205118894577026
G,1693233548.733536,50.21913695335388
N,1693233552.752223,54.23782396316528
C,1693233556.767958,58.25355887413025
G,1693233560.782845,62.26844596862793
C,1693233564.799789,66.28538990020752
N,1693233568.820808,70.30640888214111
G,1693233572.8414001,74.32700109481812
C,1693233576.861929,78.34752988815308
N,1693233580.8810701,82.36667108535767
C,1693233584.901983,86.38758397102356
G,1693233588.922295,90.40789604187012
N,1693233592.939614,94.42521500587463
C,1693233596.960051,98.44565200805664
G,1693233600.977122,102.46272301673889
N,1693233604.992969,106.47856998443604
C,1693233609.0137029,110.49930381774902
N,1693233613.0310242,114.51662516593933
G,1693233617.0515049,118.53710579872131
N,1693233621.06916,122.55476093292236
C,1693233625.085796,126.57139706611633
G,1693233629.1043699,130.58997082710266
N,1693233633.125238,134.61083889007568
G,1693233637.145782,138.6313829421997
C,1693233641.166394,142.65199494361877
G,1693233645.184034,146.66963505744934
N,1693233649.201379,150.68698000907898
C,1693233653.221833,154.7074339389801
N,1693233657.2370932,158.72269415855408
G,1693233661.252949,162.73854994773865
C,1693233665.273431,166.7590320110321
N,1693233669.293172,170.77877283096313
G,1693233673.308141,174.79374194145203
C,1693233677.325099,178.81069993972778
G,1693233681.342536,182.82813692092896
C,1693233685.3572109,186.84281182289124
N,1693233689.375169,190.86076998710632
C,1693233693.3917818,194.87738275527954
G,1693233697.410395,198.89599585533142
N,1693233701.42608,202.91168093681335
C,1693233705.445986,206.9315869808197
N,1693233709.4663522,210.95195317268372
G,1693233713.4868422,214.97244310379028
N,1693233717.50779,218.9933910369873
C,1693233721.526757,223.01235795021057
G,1693233725.543472,227.02907299995422
N,1693233729.563082,231.04868292808533
G,1693233733.581057,235.06665802001953
C,1693233737.599492,239.08509302139282
N,1693233741.6190631,243.10466408729553
G,1693233745.6394691,247.12507009506226
C,1693233749.653694,251.1392948627472
G,1693233753.673652,255.15925288200378
N,1693233757.6941922,259.17979311943054
C,1693233761.709894,263.195494890213
G,1693233765.729377,267.21497797966003
N,1693233769.7449799,271.2305808067322
C,1693233773.760035,275.2456359863281
G,1693233777.7782059,279.26380681991577
C,1693233781.798416,283.2840168476105
N,1693233785.818363,287.3039638996124
C,1693233789.835781,291.32138204574585
G,1693233793.8560379,295.34163880348206
N,1693233797.8730218,299.35862278938293
C,1693233801.8892229,303.37482380867004
N,1693233805.9157069,307.4013078212738
G,1693233809.9459488,311.43154978752136
N,1693233813.9609642,315.4465651512146
G,1693233817.980885,319.46648597717285
C,1693233822.01129,323.4968910217285
N,1693233826.032377,327.51797795295715
C,1693233830.056382,331.5419828891754
G,1693233834.077,335.56260085105896
N,1693233838.107784,339.5933849811554
C,1693233842.1375859,343.62318682670593
G,1693233846.160275,347.64587593078613
N,1693233850.180553,351.6661539077759
G,1693233854.206655,355.6922559738159
C,1693233858.2253592,359.710960149765
